Image #, Neuron #, Time Event,Censored,Constructs,Experiment
B6,,156,0,28iALS,LINCS06282017
B6,,84,1,28iALS,LINCS06282017
B6,,156,0,28iALS,LINCS06282017
B6,,24,1,28iALS,LINCS06282017
B6,,144,1,28iALS,LINCS06282017
B6,,156,0,28iALS,LINCS06282017
B6,,156,0,28iALS,LINCS06282017
B7,,48,1,28iALS,LINCS06282017
B7,,156,0,28iALS,LINCS06282017
B7,,144,1,28iALS,LINCS06282017
B7,,156,0,30iALS,LINCS06282017
B7,,156,0,30iALS,LINCS06282017
B7,,144,1,30iALS,LINCS06282017
B7,,12,1,30iALS,LINCS06282017
B7,,156,0,30iALS,LINCS06282017
B7,,60,1,30iALS,LINCS06282017
B7,,156,0,30iALS,LINCS06282017
B8,,12,1,30iALS,LINCS06282017
B8,,36,1,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,48,1,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,48,1,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,60,1,30iALS,LINCS06282017
B8,,12,1,30iALS,LINCS06282017
B8,,96,1,30iALS,LINCS06282017
B8,,156,0,30iALS,LINCS06282017
B8,,120,1,30iALS,LINCS06282017
B8,,108,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,12,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,84,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,36,1,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
B9,,156,0,30iALS,LINCS06282017
